Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;595;724;25;"1.709";"3.045"
Tecnativa;590;699;13;"1.886";"3.296"
akretion;250;312;15;870;"1.832"
camptocamp;227;290;12;786;"1.193"
acsone;193;272;16;454;"1.470"
tegin;187;206;3;458;968
"sygel-technology";103;108;3;283;825
"landoo-es";98;101;1;113;629
ursais;90;167;15;351;722
Escodoo;61;87;3;246;569
"NextERP-Romania";59;65;4;31;210
"ecosoft-odoo";59;84;5;194;609
moduon;51;62;2;148;345
legalsylvain;48;63;1;109;286
tranngocson1996;45;47;1;104;73
Studio73;38;45;9;148;352
"vauxoo-dev";36;42;9;155;248
Engenere;32;42;2;167;299
corporatehub;32;33;1;7;157
yankinmax;26;51;1;129;284
nilshamerlinck;25;25;1;38;13
kmee;24;31;5;129;248
commitsun;23;32;4;11;88
Comunitea;21;28;3;79;181
SirTakobi;19;34;1;105;161
hbrunn;19;22;1;66;152
AntoniRomera;18;21;1;68;145
eLBati;18;31;1;75;187
ilyasProgrammer;18;44;1;112;249
fredzamoabg;17;20;1;80;156
